yaw_angle,Time(s),rotor power (W)
270,20241.952301,1664055.08
270,20242.002301,1635660.02419
270,20242.052301,1557000.97794
270,20242.102301,1544103.55822
270,20242.152301,1573202.30837
270,20242.202301,1525743.99293
270,20242.252301,1515183.61735
270,20242.302301,1545549.79245
270,20242.352301,1588162.30837
270,20242.402301,1599707.26981
270,20242.452301,1624332.96889
270,20242.502301,1651418.21782
270,20242.552301,1649408.78017
270,20242.602301,1786065.70195
270,20242.652301,1703682.84315
270,20242.702301,1626173.61652
270,20242.752301,1555559.6257
270,20242.802301,1575582.16678
270,20242.852301,1629610.48145
270,20242.902301,1658802.89228
270,20242.952301,1706433.07586
270,20243.002301,1778659.45907
270,20243.052301,1820235.55347
270,20243.102301,1752074.6522
270,20243.152301,1871575.29528
270,20243.202301,1756067.90408
270,20243.252301,1710040.9076
270,20243.302301,1694514.33758
270,20243.352301,1704766.72758
270,20243.402301,1721446.77214
270,20243.452301,1714050.74071
270,20243.502301,1646653.43663
270,20243.552301,1641980.19865
270,20243.602301,1751916.7888
270,20243.652301,1801837.62209
270,20243.702301,1949679.58055
270,20243.752301,1883071.70334
270,20243.802301,1862828.9014
270,20243.852301,1851801.32603
270,20243.902301,1836770.39745
270,20243.952301,1812223.22426
270,20244.002301,1781389.90498
270,20244.052301,1691700.98858
270,20244.102301,1687141.40146
270,20244.152301,1716769.49069
270,20244.202301,1705744.02722
270,20244.252301,1685980.68703
270,20244.302301,1770962.54067
270,20244.352301,1759652.47346
270,20244.402301,1823297.45752
270,20244.452301,1848357.40176
270,20244.502301,1878462.64133
270,20244.552301,1857144.79831
270,20244.602301,1785174.18588
270,20244.652301,1767889.6409
270,20244.702301,1765827.21278
270,20244.752301,1731363.16434
270,20244.802301,1715436.75645
270,20244.852301,1832302.17059
270,20244.902301,1858717.4103
270,20244.952301,1924152.5258
270,20245.002301,1939242.73644
270,20245.052301,1912562.48747
270,20245.102301,1835505.01958
270,20245.152301,1780518.50028
270,20245.202301,1797001.11283
270,20245.252301,1837469.80551
270,20245.302301,1907510.78464
270,20245.352301,1885303.4812
270,20245.402301,1989546.83702
270,20245.452301,1815391.54045
270,20245.502301,1755521.29836
270,20245.552301,1735840.27413
270,20245.602301,1757628.06266
270,20245.652301,1798573.24683
270,20245.702301,1818026.98667
270,20245.752301,1785217.74201
